12636725.6036734,2539322.7710245,1,ÃÞ»¨ÌÇ,18.00,1
12636729.4874523,2539322.9383022,1,ÇÉ¿ËÁ¦,32.00,1
12636729.5246177,2539319.5758307,1,Å£ÄÌÌÇ,20.00,1
12636725.6767971,2539313.8325049,1,³È×Ó,5.00,2
12636725.705555,2539307.363925,1,Ïã½¶,2.00,2
12636733.4229302,2539321.12839,1,°×²Ë,1.59,3
12636750.4951896,2539321.10328,1,³ß×Ó,2.00,4
12636750.5509379,2539317.2206721,1,Ã«±Ê,35.00,4
12636750.7553475,2539310.3641777,1,Å£ÄÌ,55.99,5
12636761.4032201,2539320.415799,1,ÀºÇò,299.99,6
12636761.1802281,2539310.3085974,1,ÍÂË¾,5.66,7
12636728.3200849,2539297.0876996,1,¶ùÍ¯Ã«ÒÂ,125.99,8
12636739.0891054,2539297.2392697,1,Òº¾§²Êµç,199999.99,9
12636753.1191665,2539297.3145772,1,É¼Ä¾ÒÎ,589.99,10
12636729.735730,2539286.1422861,1,À¬»øÍ°,25.90,11
12636753.816689,2539285.7566812,1,ÆÏÌÑ¾Æ,2847.62,12
